提交者（自动）,提交时间（自动）,所在地区（必填）,检测机构名称全称（必填）,完整地址（包括邮编）（必填）,检测机构电话,检测类型（必填）,做检测时间,出报告时间,出报告耗时（天）,提交核酸码的时间,获得核酸码的时间,核酸码有效期,需要医疗保险？,无医保需要付费,测试总花费,是否需要预约,其他注意事项,,,,,,,,,
,,加利福尼亚 洛杉矶,123 Medical Group,"18800 Amar Rd A8, Walnut, CA 91789",(626)593-1233,"核酸测试 （Nucleic acid test）, 
抗体测试（AntiBodies)",当天中午12点之前,次日早上10点之前,1,"1）说中文，每天营业，每天都出报告，来之前请预约
2）收费为225美金 （10月1日-11月30日间，提及“北美票帝可优惠5美金”）
3）可出具Superbill，由客人自行申报健康保险
4）可做加急检测，6小时出报告，须支付加急费",,,,,,,,,,,,,,,,
,,,,,,,当天下午5点之前,次日下午3点之前,1,,,,,,,,,,,,,,,,,
,,"上门检测服务 
（纽约，费城，波士顿，芝加哥，亚特兰大，华盛顿特区，佛罗里达州，得克萨斯州）",纵横集团联合美国FDA CLIA Approved实验室,上门检测（扫码预约）,646-591-4171,核酸测试 （Nucleic acid test）,7x24按需预约,"第二天下午6点前
（或24小时之内）",1,"1）说中文，7x24预约，7x24上门服务，第二天保证出报告，让您“测一次就够了”
2）收费为299美金/人起 
3）可做当日加急检测",,,,,,,,,,,,,,,,
momo,2020/9/10 5:28:32,加拿大，温哥华,Tri-Cities COVID-19 & Influenza Like Illness Assessment Clinic,"Unit A120 - 2099 Lougheed Highway, Port Coquitlam, BC",236-996-9000,核酸测试 （Nucleic acid test）,2020/9/7 2:20,2020/9/9 2:00,,,,,否,需要,350,需要，建议预约,【10/1更新：请确认是否接受预约】在建筑物内庭，外面有指示牌，机构不接受电话，可以发邮件covidtravel@integratedwellness.clinic，官网上有很详细的整套测试说明。[已按要求修正],,,,,,,,,
R,2020/9/22 22:38:09,加拿大，渥太华,COVID-19 Assessment Centre (Brewer Park Arena),"151 Brewer way, Ottawa, ON K1S 5T1",无,核酸测试 （Nucleic acid test）,2020/9/15 11:03,2020/9/17 13:27,,2020/9/17 14:30,2020/9/18 10:26,,是,不需要,0,不需要，walk in 即可,最近检测人数急剧增多，注意官网上（https://www.ottawapublichealth.ca/en/shared-content/assessment-centres.aspx）的最新open时间和公告哦。户外排队的时候会有点冷，很多人提早来的，所以室外至少一个小时，室内排队也是大概一个多小时，越晚约慢，family与单人检测的队伍是分开的。录入信息时和大夫说一下检测是因为travel回国，他们会给你一些登机需要的资料。大夫当时只给我捅了鼻子一侧10s。提交完微信核酸检测结果，未通过审核，原因是目前加拿大直飞国内不需要要HS码，只要纸质报告即可。现在已经在国内隔离了，祝福大家一切顺利呀！,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
LUCKY,2020/9/28 8:35:20,全美都可以,Picture Genetics,邮寄到加州,,核酸测试 （Nucleic acid test）,2020/9/16 17:00,2020/9/18 1:18,,2020/9/18 6:00,2020/9/18 13:00,2020/9/22 14:59,否,需要,119,需要，建议预约,这个结果出的太快了 建议比三天提前一天寄出就好！,,,,,,,,,
Kelly🥳,2020/8/30 3:45:05,宾夕法尼亚州，费城,cvs,"1901 WEST OREGON AVENUE, PHILADELPHIA, PA 19146",,核酸测试 （Nucleic acid test）,2020/8/26 3:00,2020/8/29 23:00,,,,,否,不需要,0,需要，建议预约,需要开车去做检测,,,,,,,,,
邓邓,2020/8/29 12:11:21,宾夕法尼亚州，费城,Rite Aid,"1856 N Broad St, Lansdale, PA 19446",(215) 412-9375,核酸测试 （Nucleic acid test）,2020/8/25 16:30,2020/8/27 17:25,,2020/8/28 17:15,2020/8/28 21:15,2020/9/4 9:59,否,不需要,0,需要，建议预约,请注意我在此表中填写的核酸码提交时间是按另一次测试提交的，本次结果最终未提交。,,,,,,,,,
五味子👧🏻,2020/8/28 5:32:08,宾夕法尼亚州，匹兹堡,North Side Christian Health Centre,"816 Middle St. Pittsburgh, PA 15201",,核酸测试 （Nucleic acid test）,2020/8/19 9:10,2020/8/21 12:32,,2020/8/21 13:24,2020/8/21 16:57,2020/8/26 16:31,否,不需要,0,需要，建议预约,测试前20分钟不可进食、吸烟及喝水,,,,,,,,,
