Date,Flight number,From,To,Dep time,Arr time,Duration,Airline,Aircraft,Registration,Seat number,Seat type,Flight class,Flight reason,Note,Dep_id,Arr_id,Airline_id,Aircraft_id
2019/11/21,2P2638,Manila / Ninoy Aquino International (MNL/RPLL),Nanjing / Nanjing (NKG/ZSNJ),14:00:00,17:10:00,3:10:00,Air Philippines Corporation (2P/GAP),Airbus A320-200 (A320),,,0,0,0,1,1898,2066,944,2059
2019/11/21,2P9741,Manila / Ninoy Aquino International (MNL/RPLL),Hangzhou / Xiaoshan (HGH/ZSHC),12:30:00,16:00:00,3:30:00,Philippine Airlines (PR/PAL),Airbus A320 (A320),,,0,0,0,4,1898,1121,597,27
2019/12/22,3U3848,Bangkok / Suvarnabhumi (BKK/VTBS),Chengdu / Shuangliu (CTU/ZUUU),12:05:00,15:55:00,2:50:00,Sichuan Airlines (3U/CSC),Airbus A320-200 (A320),,,0,0,0,3,331,633,915,2059
2019/12/21,3U8288,Chiang Rai / Mae Fah Luang (CEI/VTCT),Chengdu / Shuangliu (CTU/ZUUU),12:50:00,15:55:00,2:05:00,Sichuan Airlines (3U/CSC),Airbus A321-200 (A321),,,0,0,0,6,3918,633,915,2076
2020/6/11,3U8392,Cairo / Cairo (CAI/HECA),Chengdu / Shuangliu (CTU/ZUUU),21:00:00,12:10:00,9:10:00,Sichuan Airlines (3U/CSC),Airbus A330-200 (A332),,,0,0,0,5,475,633,915,30
2020/6/11,3U8502,Vancouver / Vancouver (YVR/CYVR),Chengdu / Shuangliu (CTU/ZUUU),0:15:00,4:40:00,13:25:00,Sichuan Airlines (3U/CSC),Airbus A350-900 (A359),,,0,0,0,5,3466,633,915,2110
2020/6/12,3U8502,Vancouver / Vancouver (YVR/CYVR),Chengdu / Shuangliu (CTU/ZUUU),0:15:00,4:40:00,13:25:00,Sichuan Airlines (3U/CSC),Airbus A350-900 (A359),,,0,0,0,3,3466,633,915,2110
2019/11/21,5J308,Manila / Ninoy Aquino International (MNL/RPLL),Guangzhou / Canton-Baiyun (CAN/ZGGG),16:30:00,19:30:00,3:00:00,Cebu Pacific (5J/CEB),Airbus A330-200 (A332),,,0,0,0,2,1898,478,906,30
2020/7/15,7C8501,Seoul / Incheon (ICN/RKSI),Weihai / Dashuibo (WEH/ZSWH),10:10:00,10:50:00,1:40:00,Jeju Air (7C/JJA),Boeing 737-800 (B738),,,0,0,0,3,3602,3792,1090,231
2019/12/21,8M711,Yangon / Mingaladon (RGN/VYYY),Guangzhou / Canton-Baiyun (CAN/ZGGG),8:40:00,13:15:00,2:35:00,Myanmar Airways International (8M/MMA),Airbus A320-200 (A320),,,0,0,0,5,2513,478,1049,2059
